batch,hit,miss,rate
710, 44,6,88.00
711, 48,2,96.00
712, 45,5,90.00
713, 44,6,88.00
714, 44,6,88.00
715, 43,7,86.00
716, 49,1,98.00
717, 45,5,90.00
718, 45,5,90.00
719, 42,8,84.00
720, 48,2,96.00
721, 46,4,92.00
722, 45,5,90.00
723, 45,5,90.00
724, 42,8,84.00
725, 39,11,78.00
726, 48,2,96.00
727, 47,3,94.00
728, 44,6,88.00
729, 46,4,92.00
730, 47,3,94.00
731, 45,5,90.00
732, 45,5,90.00
733, 48,2,96.00
734, 47,3,94.00
735, 45,5,90.00
736, 41,9,82.00
737, 44,6,88.00
738, 48,2,96.00
739, 45,5,90.00
740, 45,5,90.00
741, 46,4,92.00
742, 44,6,88.00
743, 45,5,90.00
744, 49,1,98.00
745, 48,2,96.00
746, 42,8,84.00
747, 47,3,94.00
748, 44,6,88.00
749, 45,5,90.00
750, 46,4,92.00
751, 44,6,88.00
752, 45,5,90.00
753, 46,4,92.00
754, 46,4,92.00
755, 44,6,88.00
756, 46,4,92.00
757, 43,7,86.00
758, 46,4,92.00
759, 45,5,90.00
760, 42,8,84.00
761, 45,5,90.00
762, 43,7,86.00
763, 47,3,94.00
764, 45,5,90.00
765, 46,4,92.00
766, 44,6,88.00
767, 43,7,86.00
768, 43,7,86.00
769, 46,4,92.00
770, 43,7,86.00
771, 44,6,88.00
772, 45,5,90.00
773, 45,5,90.00
774, 46,4,92.00
775, 49,1,98.00
776, 47,3,94.00
777, 45,5,90.00
778, 47,3,94.00
779, 48,2,96.00
780, 46,4,92.00
781, 44,6,88.00
782, 45,5,90.00
783, 48,2,96.00
784, 47,3,94.00
785, 47,3,94.00
786, 49,1,98.00
787, 46,4,92.00
788, 45,5,90.00
789, 43,7,86.00
790, 45,5,90.00
791, 43,7,86.00
792, 49,1,98.00
793, 47,3,94.00
794, 46,4,92.00
795, 47,3,94.00
796, 46,4,92.00
797, 46,4,92.00
798, 42,8,84.00
799, 44,6,88.00
800, 48,2,96.00
801, 50,0,100.00
802, 47,3,94.00
803, 47,3,94.00
804, 45,5,90.00
805, 45,5,90.00
806, 40,10,80.00
807, 42,8,84.00
808, 43,7,86.00
809, 48,2,96.00
810, 45,5,90.00
811, 43,7,86.00
812, 46,4,92.00
813, 47,3,94.00
814, 43,7,86.00
815, 44,6,88.00
816, 44,6,88.00
817, 42,8,84.00
818, 44,6,88.00
819, 44,6,88.00
820, 47,3,94.00
821, 43,7,86.00
822, 48,2,96.00
823, 42,8,84.00
824, 45,5,90.00
825, 37,13,74.00
826, 45,5,90.00
827, 45,5,90.00
828, 45,5,90.00
829, 48,2,96.00
830, 44,6,88.00
831, 47,3,94.00
832, 42,8,84.00
833, 45,5,90.00
834, 41,9,82.00
835, 45,5,90.00
836, 43,7,86.00
837, 46,4,92.00
838, 43,7,86.00
839, 46,4,92.00
840, 44,6,88.00
841, 46,4,92.00
842, 45,5,90.00
843, 44,6,88.00
844, 44,6,88.00
845, 44,6,88.00
846, 46,4,92.00
847, 46,4,92.00
848, 43,7,86.00
849, 48,2,96.00
850, 47,3,94.00
851, 47,3,94.00
852, 47,3,94.00
853, 45,5,90.00
854, 45,5,90.00
855, 47,3,94.00
856, 45,5,90.00
857, 47,3,94.00
858, 45,5,90.00
859, 46,4,92.00
860, 42,8,84.00
861, 45,5,90.00
862, 44,6,88.00
863, 46,4,92.00
864, 41,9,82.00
